"id_tps","id_pays","nb_cas","nb_mort","nb_gueri","nb_teste"
"299","147","46062","1281","26981","289534"
"299","148","92","2","0","0"
"299","149","28434","294","19025","1959753"
"299","150","119442","1326","110050","571472"
"299","151","354461","7109","322414","4881640"
"299","152","62167","558","53791","580281"
"299","153","145309","2867","124271","755576"
"299","154","600","7","586","30027"
"299","155","71065","1569","50965","401017"
"299","156","934899","35177","861017","4784978"
"299","157","406308","7791","363039","5236110"
"299","158","691118","10045","282215","5563521"
"299","159","211266","3305","122517","3853501"
"299","160","65743","820","0","0"
"299","161","135570","234","132577","1044873"
"299","162","28338","492","25636","2777289"
"299","163","6881","29","5928","48859"
"299","164","353185","8813","239051","3667896"
"299","165","1903253","32834","1425529","67949154"
"299","166","5394","42","4994","585540"
"299","167","109","0","83","4445"
"299","168","19","0","19","3369"
"299","169","160","2","46","13465"
"299","170","655","12","551","6906"
"299","171","16","0","12","2624"
"299","172","78","0","77","8198"
"299","173","1253","42","888","13396"
"299","174","964","16","917","6988"
"299","175","352950","5641","339947","8840023"
"299","176","15779","327","15407","217959"
"299","177","81086","989","31536","1496295"
"299","178","160","0","157","5200"
"299","179","2391","74","1816","0"
"299","180","58116","28","58019","4066897"
"299","181","923","24","835","7058"
"299","182","85567","510","29024","960049"
"299","183","54122","765","33548","437292"
"299","184","4301","107","3330","0"
"299","185","749182","20206","693261","5110384"
"299","186","3003","59","1290","12044"
"299","187","1492608","40769","0","19394289"
"299","188","16583","53","11324","650257"
"299","189","14626","1116","9571","0"
"299","190","5274","114","5143","20432"
"299","191","177355","6164","0","2659793"
"299","192","257135","3351","141000","2351453"
"299","193","6613","341","2665","0"
"299","194","600","7","535","105491"
"299","195","509","21","183","0"
"299","196","3866","60","3707","977854"
"299","197","30","0","30","12487"
"299","198","2651","61","1885","133803"
"299","199","6077","112","5373","34701"
"299","200","79339","2279","53758","405533"
"299","201","411055","11418","351102","16013974"
"299","202","720","6","695","5808"
"299","203","15789","144","8038","585456"
"299","204","525176","9508","238811","3876966"
"299","205","149135","528","142561","14852491"
"299","206","1344356","51766","0","37918526"
"299","207","11228130","251253","6891614","166756772"
"299","208","1362","21","0","0"
"299","209","3957","64","3175","366559"
"299","210","69987","594","67241","1377915"
"299","211","96933","848","91948","2246239"
"299","212","1256","35","1103","1246480"
"299","213","10","1","8","0"
"299","214","2072","605","1394","16658"
"299","215","17097","350","16137","323790"
"299","216","8786","257","8096","171023"
"299","217","579","7","549","0"
"299","218","11573","85","10934","0"
"299","219","2041","44","1056","24030"
"299","220","5445","108","5187","3753969"
"299","221","46","0","46","4238"
"299","222","1","0","1","0"
"299","223","16","0","5","115"
"299","224","1","0","1","1149"
"299","225","1","0","0",
